source,title,url,local_path,sha256,size_bytes
nia,NIA 5 Tips To Help You Stay Motivated to Exercise Handout,https://order.nia.nih.gov/sites/default/files/2023-12/5-tips-motivated-exercise.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_5_Tips_To_Help_You_Stay_Motivated_to_Exercise_Handout.pdf,75e7cd7901ae10065520a41a9a2487b968d466c81c13f37ebb19381a4e793b2e,1891587
nia,NIA 7 cosas que necesita saber sobre la culebrilla,https://order.nia.nih.gov/sites/default/files/2025-04/cosas-sobre-culebrilla.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_7_cosas_que_necesita_saber_sobre_la_culebrilla.pdf,35f0ea7915c889a0a202baeeee8dc28c93bbd331e304d342e206012bcfe16812,640216
nia,NIA 7 Things You Need To Know About Shingles,https://order.nia.nih.gov/sites/default/files/2025-03/shingles-older-adults-nia.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_7_Things_You_Need_To_Know_About_Shingles.pdf,0ed72ee4ab2dc3a3c517840480f4b6afc7d5b100bb9393065e0bfcf059bdf34b,307388
nia,NIA Advance Care Planning: A Conversation Guide,https://order.nia.nih.gov/sites/default/files/2026-01/nia-advance-care-planning-guide.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Advance_Care_Planning_A_Conversation_Guide.pdf,e4479764ba3a4a78aace01d34503b35fadfe982b08a16d42866cd4361cf0de36,6292955
nia,NIA Age-Related Forgetfulness or Signs of Dementia? Handout,https://order.nia.nih.gov/sites/default/files/2024-02/age-related-forgetfulness-or-dementia.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Age-Related_Forgetfulness_or_Signs_of_Dementia_Handout.pdf,9ada51fd5933e6c561b6dd01502e729426a49759e156f6e1d7a7a2d65468a5cf,177467
nia,NIA Alzheimer's Disease in People with Down Syndrome,https://order.nia.nih.gov/sites/default/files/2021-02/alzheimers-down-syndrome.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Alzheimers_Disease_in_People_with_Down_Syndrome.pdf,410a6b4375bf0d02a3e0483ee156b5687ec6cc51d2f3f5e2bb8a31eefbba53ff,1082245
nia,NIA Comer saludable después de los 50 años (Healthy Eating After 50),https://order.nia.nih.gov/sites/default/files/2023-09/saludablemente-despues-nia.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Comer_saludable_después_de_los_50_años_Healthy_Eating_After_50.pdf,f8584d63af19a1622c69cb6bf3a9e65be866ce2f84b0231b0f0b7ce94647c70f,282826
nia,NIA Cómo cuidar a una persona con la enfermedad de Alzheimer: Una guía fácil de usar,https://order.nia.nih.gov/sites/default/files/2025-04/cuidar-persona-alzheimer.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Cómo_cuidar_a_una_persona_con_la_enfermedad_de_Alzheimer_Una_guía_fácil_de_usar.pdf,0e4c0f6615c77035ef92f8a09def688e3ce5236bf10ceff0b6529c9ea3b2098f,37229304
nia,NIA Cómo mantenerse saludable durante y después de la menopausia,https://order.nia.nih.gov/sites/default/files/2025-02/menopausia-mantenerse-nia.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Cómo_mantenerse_saludable_durante_y_después_de_la_menopausia.pdf,7f181546fee1049898e6deae2c11d11737dc28bf534f9b79ae3d9c829e7612de,423852
nia,NIA Cómo reducir su riesgo de demencia,https://order.nia.nih.gov/sites/default/files/2025-02/reducir-riesgo-demencia.pdf,/Users/mamathomas/geriassist-rag-aws/data/raw/nia/NIA_Cómo_reducir_su_riesgo_de_demencia.pdf,31319141087a95972906c7128f0543d0255e47c479add21ed133690ae858a12d,4375556
